Version	Date	Time	Author	Comment
69	06-Jul-2017	17:59	Philip Swannell	Released after crash - lost about an hour's work and code here may be incompatible with the most-recently released workbooks. :(
68	06-Jul-2017	09:22	Philip Swannell	Incorporated work done at home yesterday.
67	04-Jul-2017	18:52	Philip Swannell	Work in modISDASIMM
66	04-Jul-2017	15:47	Philip Swannell	Work in modISDASIMM
65	03-Jul-2017	16:16	Philip Swannell	Moved modISDASIMM from SolumAddin to here so we can call R for speed of KendallTau calculation.
64	03-Jul-2017	16:09	Philip Swannell	Added function sKendallTauR
63	29-Jun-2017	11:39	Philip Swannell	Changes to sNearestCorrelationMatrix to use either Nick Higham's method or the "quick and dirty" method.
62	26-Jun-2017	12:09	Philip Swannell	install_script_packages.r -> InstallPackages.R
61	26-Jun-2017	11:43	Philip Swannell	Main.R -> SCRiPTMain.R
60	26-Jun-2017	11:27	Philip Swannell	Removed method EvaluatePlus.
59	08-Jun-2017	15:02	Philip Swannell	Added function sNearestCorrelationMatrix that wraps R function nearPD in package Matrix.
58	23-May-2017	10:32	Philip Swannell	Lag -> LagMethod
57	17-May-2017	16:43	Philip Swannell	Fix to InflationIndexInfo.
56	12-May-2017	15:52	Philip Swannell	Moved some methods relating to inflation from SCRiPT to here so we can also call them from the market data workbbok.
55	11-May-2017	15:14	Philip Swannell	Added method SaveLabelledDataToRList.
54	10-May-2017	10:38	Philip Swannell	Tweak to method SourceRCode
53	08-May-2017	16:25	Philip Swannell	Added method EvaluatePlus - part of plan to change how we do error handling in R. Function not yet used.
52	03-May-2017	14:05	Philip Swannell	Changes in ModSaveToR to handle strings containing double-quotes and backslashes.
51	03-May-2017	09:20	Philip Swannell	Added method SCRiPTUtilsIsInDebugMode to control when we pop data to NotePad++ as we pass it to R.
50	27-Apr-2017	13:47	Philip Swannell	Upped MINVERSIONMDW to 117, for inflation data to be handled.
49	27-Apr-2017	10:02	Philip Swannell	Added method SaveSingletonToR
48	26-Apr-2017	17:47	Philip Swannell	Added general-purpose method SaveArrayToR.
